id,tipo_propiedad,barrio,precio,ambientes,superficie_m2,antigüedad,expensas,garantía_requerida,precio_m2,score_crediticio_requerido,comisión_inmobiliaria,cochera,gastos_administrativos,tipo_incremento
1805,PH,Barrio Jardín,250560,2,80,20,0,3 recibos de sueldo,3132.0,521,156226,No,3892,ICL cada 6 meses
1806,Departamento,Villa Belgrano,148488,2,73,16,8227,2 recibos + garantía propietaria,2034.08,605,85034,No,3030,IPC cada 4 meses
1807,Casa,San Vicente,74214,1,36,14,0,1 recibo de sueldo,2061.5,533,46273,No,1333,ICL cada 6 meses
1808,Departamento,General Paz,310764,2,80,12,12615,2 recibos de sueldo,3884.55,558,177965,No,5186,IPC cada 4 meses
1809,Departamento,Cerro de las Rosas,218790,2,57,35,11183,2 recibos + garantía propietaria,3838.42,627,125294,No,4416,IPC cada 6 meses
1810,Departamento,Nueva Córdoba,271920,2,52,0,11051,1 recibo de sueldo,5229.23,636,169544,Sí,6197,ICL cada 3 meses
1811,PH,San Vicente,60000,1,25,1,0,1 recibo + garantía propietaria,2400.0,495,34360,No,1003,IPC cada 3 meses
1812,PH,Villa Belgrano,111599,2,50,14,0,1 recibo de sueldo,2231.98,609,69582,No,2034,ICL cada 3 meses
1813,Departamento,Urca,233640,2,61,9,10779,2 recibos + garantía propietaria,3830.16,660,145676,Sí,4834,ICL cada 6 meses
1814,Departamento,Nueva Córdoba,154677,1,33,11,6484,2 recibos de sueldo,4687.18,696,88578,Sí,3700,IPC cada 6 meses
1815,Departamento,Nueva Córdoba,352123,3,92,48,20504,2 recibos + garantía propietaria,3827.42,445,219551,No,8419,ICL cada 4 meses
1816,Departamento,Pueyrredón,180090,3,90,26,9466,1 recibo de sueldo,2001.0,602,112287,Sí,3889,ICL cada 6 meses
1817,Departamento,Urca,104076,1,31,32,5554,3 recibos de sueldo,3357.29,444,64892,Sí,2327,ICL cada 6 meses
1818,Departamento,Villa Belgrano,225720,3,107,10,12871,3 recibos de sueldo,2109.53,599,140738,Sí,3632,ICL cada 6 meses
1819,Casa,San Vicente,345126,5,156,6,0,1 recibo + garantía propietaria,2212.35,606,197643,No,7515,IPC cada 4 meses
1820,Departamento,Cofico,381321,4,129,26,20843,1 recibo de sueldo,2955.98,712,237757,Sí,6998,ICL cada 3 meses
1821,PH,General Paz,118628,1,32,28,0,2 recibos de sueldo,3707.12,747,67934,No,2626,IPC cada 4 meses
1822,Departamento,Cerro de las Rosas,454848,4,104,16,19323,2 recibos de sueldo,4373.54,547,260477,No,7405,IPC cada 4 meses
1823,Departamento,San Vicente,87648,2,42,34,4588,2 recibos de sueldo,2086.86,679,50193,No,1826,IPC cada 3 meses
1824,Casa,Villa Belgrano,84905,1,51,41,0,3 recibos de sueldo,1664.8,715,52939,Sí,1578,ICL cada 3 meses
1825,Casa,San Vicente,120615,2,55,13,0,1 recibo de sueldo,2193.0,575,75204,No,2325,ICL cada 6 meses
1826,Departamento,Alberdi,124020,2,54,5,7387,1 recibo + garantía propietaria,2296.67,727,77327,No,1995,ICL cada 4 meses
1827,Departamento,Nueva Córdoba,428571,3,92,15,18978,3 recibos de sueldo,4658.38,663,245429,Sí,9385,IPC cada 3 meses
1828,PH,Pueyrredón,168795,3,96,45,0,1 recibo de sueldo,1758.28,622,96663,No,3790,IPC cada 4 meses
1829,Departamento,Villa Cabrera,210816,3,97,8,11045,1 recibo de sueldo,2173.36,664,131445,Sí,3446,ICL cada 3 meses
1830,Departamento,Urca,269871,2,78,19,13836,1 recibo de sueldo,3459.88,491,168267,Sí,5407,ICL cada 3 meses
1831,Departamento,Pueyrredón,146850,2,75,22,7024,2 recibos de sueldo,1958.0,664,84096,No,3359,IPC cada 3 meses
1832,Casa,Centro,120510,2,52,5,0,3 recibos de sueldo,2317.5,565,75139,No,2077,ICL cada 4 meses
1833,Casa,Centro,141960,2,70,18,0,3 recibos de sueldo,2028.0,652,81296,No,2260,IPC cada 3 meses
1834,PH,Villa Belgrano,324288,5,146,8,0,2 recibos + garantía propietaria,2221.15,609,202196,Sí,7820,ICL cada 4 meses
1835,Departamento,Villa Cabrera,231699,4,119,31,13691,2 recibos de sueldo,1947.05,678,132687,No,5243,IPC cada 3 meses
1836,Departamento,San Vicente,287802,5,139,23,13563,1 recibo + garantía propietaria,2070.52,769,179447,Sí,5192,ICL cada 3 meses
1837,Departamento,Cerro de las Rosas,301644,3,73,29,12630,1 recibo + garantía propietaria,4132.11,662,172742,Sí,6737,IPC cada 4 meses
1838,Casa,Barrio Jardín,322920,3,90,5,0,1 recibo de sueldo,3588.0,750,201343,Sí,4937,ICL cada 4 meses
1839,Departamento,Yofre,120000,2,50,0,7110,2 recibos + garantía propietaria,2400.0,547,74821,No,2769,ICL cada 3 meses
1840,Departamento,General Paz,360468,3,99,30,19675,2 recibos + garantía propietaria,3641.09,793,224755,Sí,6809,ICL cada 4 meses
1841,Departamento,Barrio Jardín,306432,3,87,10,14356,2 recibos de sueldo,3522.21,548,191063,Sí,5408,ICL cada 4 meses
1842,Departamento,Cofico,413658,4,123,4,18867,2 recibos de sueldo,3363.07,524,257919,Sí,7075,ICL cada 4 meses
1843,PH,Cofico,344817,3,104,2,0,1 recibo + garantía propietaria,3315.55,622,214996,No,6595,ICL cada 6 meses
1844,Departamento,San Vicente,102675,2,45,15,6012,2 recibos de sueldo,2281.67,605,58798,No,2210,IPC cada 3 meses
1845,PH,Yofre,259449,4,113,3,0,1 recibo + garantía propietaria,2296.01,491,161768,No,5953,ICL cada 6 meses
1846,Departamento,General Paz,486084,4,122,17,22102,1 recibo de sueldo,3984.3,537,303077,Sí,7385,ICL cada 4 meses
1847,PH,Cerro de las Rosas,373824,3,93,24,0,2 recibos de sueldo,4019.61,300,233082,Sí,9124,ICL cada 6 meses
1848,Casa,General Paz,396446,3,101,16,0,1 recibo de sueldo,3925.21,514,227032,Sí,9265,IPC cada 4 meses
1849,Departamento,Observatorio,70716,1,39,34,3588,2 recibos de sueldo,1813.23,584,44092,Sí,1739,ICL cada 4 meses
1850,PH,San Vicente,204624,3,91,4,0,2 recibos + garantía propietaria,2248.62,798,117182,Sí,3595,IPC cada 3 meses
1851,Departamento,Urca,121085,1,33,14,5363,3 recibos de sueldo,3669.24,721,75497,No,2010,ICL cada 4 meses
1852,PH,Villa Cabrera,72912,1,33,4,0,3 recibos de sueldo,2209.45,682,41754,No,1731,IPC cada 3 meses
1853,PH,Observatorio,151200,3,75,32,0,2 recibos de sueldo,2016.0,866,94274,Sí,2296,ICL cada 3 meses
1854,Casa,Observatorio,109536,2,58,37,0,1 recibo de sueldo,1888.55,470,62728,No,2098,IPC cada 4 meses
1855,Departamento,Yofre,199017,3,92,11,11921,1 recibo + garantía propietaria,2163.23,643,113971,No,3841,IPC cada 3 meses
1856,Departamento,Urca,478800,4,125,8,26520,3 recibos de sueldo,3830.4,853,274194,Sí,8265,IPC cada 6 meses
1857,Departamento,Villa Belgrano,117537,2,51,7,6035,2 recibos + garantía propietaria,2304.65,599,67309,No,2035,IPC cada 6 meses
1858,Departamento,Alta Córdoba,155142,3,77,31,8519,2 recibos de sueldo,2014.83,567,96732,No,3362,ICL cada 3 meses
1859,Casa,Observatorio,181026,3,88,22,0,2 recibos de sueldo,2057.11,731,112871,No,3294,ICL cada 4 meses
1860,Casa,Villa Belgrano,145290,2,80,33,0,2 recibos + garantía propietaria,1816.12,594,83203,No,2330,IPC cada 4 meses
1861,PH,Villa Cabrera,189711,3,82,3,0,1 recibo de sueldo,2313.55,775,118286,No,3487,ICL cada 6 meses
1862,Departamento,San Vicente,213741,3,102,13,12466,2 recibos de sueldo,2095.5,733,133269,Sí,4275,ICL cada 3 meses
1863,Casa,Cerro de las Rosas,422082,3,106,21,0,2 recibos de sueldo,3981.91,630,263171,Sí,6504,ICL cada 4 meses
1864,PH,Alberdi,229080,4,120,34,0,3 recibos de sueldo,1909.0,748,142833,Sí,5706,ICL cada 3 meses
1865,Casa,Pueyrredón,184680,3,83,10,0,3 recibos de sueldo,2225.06,626,115149,No,4077,ICL cada 4 meses
1866,Departamento,Yofre,339840,5,155,8,20139,1 recibo de sueldo,2192.52,663,211893,Sí,5483,ICL cada 4 meses
1867,Departamento,Nueva Córdoba,382239,3,92,35,21298,2 recibos + garantía propietaria,4154.77,708,218896,Sí,5899,IPC cada 6 meses
1868,Departamento,Cerro de las Rosas,242382,2,51,1,13811,1 recibo + garantía propietaria,4752.59,611,151127,Sí,6038,ICL cada 3 meses
1869,Departamento,Cerro de las Rosas,361584,3,83,14,17340,2 recibos de sueldo,4356.43,801,225450,No,7687,ICL cada 4 meses
1870,Departamento,Villa Belgrano,137445,2,65,13,6574,2 recibos de sueldo,2114.54,656,85698,No,2886,ICL cada 6 meses
1871,PH,Villa Cabrera,219852,3,99,3,0,2 recibos + garantía propietaria,2220.73,678,125902,Sí,3786,IPC cada 4 meses
1872,Departamento,General Paz,361972,3,87,11,20330,2 recibos de sueldo,4160.6,518,207290,Sí,8596,IPC cada 4 meses
1873,Departamento,Alberdi,181602,3,89,23,10023,3 recibos de sueldo,2040.47,585,113230,No,2851,ICL cada 3 meses
1874,Departamento,Observatorio,77520,1,37,10,4497,1 recibo de sueldo,2095.14,666,44393,No,1757,IPC cada 3 meses
1875,Casa,Villa Belgrano,195264,3,88,8,0,2 recibos de sueldo,2218.91,736,121748,Sí,3189,ICL cada 6 meses
1876,PH,Alberdi,60000,1,27,26,0,2 recibos de sueldo,2222.22,791,34360,Sí,1382,IPC cada 6 meses
1877,Casa,Centro,149265,3,82,45,0,3 recibos de sueldo,1820.3,543,93068,Sí,2559,ICL cada 6 meses
1878,Departamento,Alberdi,227592,4,112,26,9709,2 recibos de sueldo,2032.07,567,130335,Sí,5632,IPC cada 6 meses
1879,Departamento,Urca,585480,5,177,30,31508,2 recibos + garantía propietaria,3307.8,527,335287,Sí,9971,IPC cada 4 meses
1880,PH,Centro,108864,2,58,38,0,1 recibo de sueldo,1876.97,699,62343,No,2287,IPC cada 6 meses
1881,Departamento,Villa El Libertador,199692,3,104,28,10574,1 recibo + garantía propietaria,1920.12,791,124509,No,4728,ICL cada 3 meses
1882,Departamento,Observatorio,186516,3,107,43,10439,2 recibos de sueldo,1743.14,634,106812,No,3606,IPC cada 3 meses
1883,Departamento,San Vicente,238350,4,118,25,9651,1 recibo + garantía propietaria,2019.92,655,148613,Sí,4699,ICL cada 6 meses
1884,Departamento,Villa Belgrano,191709,3,94,21,10836,2 recibos + garantía propietaria,2039.46,663,119532,No,4690,ICL cada 3 meses
1885,Casa,Cerro de las Rosas,248844,2,61,22,0,1 recibo de sueldo,4079.41,603,142505,No,3912,IPC cada 4 meses
1886,Departamento,Alta Córdoba,147906,3,74,34,6881,2 recibos de sueldo,1998.73,527,84701,No,2976,IPC cada 6 meses
1887,Departamento,Nueva Córdoba,348915,3,74,22,18751,1 recibo de sueldo,4715.07,755,217551,Sí,6632,ICL cada 3 meses
1888,Departamento,General Paz,344137,3,90,25,18009,1 recibo + garantía propietaria,3823.74,665,197077,Sí,6869,IPC cada 3 meses
1889,Departamento,Villa Belgrano,262080,4,116,5,12790,1 recibo + garantía propietaria,2259.31,595,163409,No,4702,ICL cada 6 meses
1890,Departamento,Pueyrredón,142065,2,79,35,7802,2 recibos de sueldo,1798.29,900,88578,No,2233,ICL cada 4 meses
1891,Departamento,Nueva Córdoba,706015,5,148,12,41813,2 recibos de sueldo,4770.37,649,404313,Sí,12358,IPC cada 6 meses
1892,Departamento,Cofico,154350,1,50,4,7172,1 recibo de sueldo,3087.0,478,88391,Sí,2348,IPC cada 6 meses
1893,Departamento,Villa Cabrera,290640,5,145,27,15976,2 recibos de sueldo,2004.41,715,181216,Sí,4718,ICL cada 4 meses
1894,Departamento,General Paz,562857,4,139,9,26055,2 recibos de sueldo,4049.33,465,322331,Sí,9820,IPC cada 6 meses
1895,Departamento,Centro,211680,3,95,4,12047,1 recibo de sueldo,2228.21,696,131984,Sí,3801,ICL cada 3 meses
1896,Departamento,Villa Belgrano,211266,3,96,6,10298,2 recibos de sueldo,2200.69,693,131726,No,3963,ICL cada 6 meses
1897,Departamento,San Vicente,60000,1,25,0,2939,2 recibos + garantía propietaria,2400.0,787,37410,No,1440,ICL cada 6 meses
1898,PH,General Paz,150103,1,36,2,0,2 recibos de sueldo,4169.53,549,85959,No,3100,IPC cada 4 meses
1899,Departamento,Barrio Jardín,245481,2,77,18,13608,2 recibos de sueldo,3188.06,620,140579,No,5878,IPC cada 6 meses
1900,Departamento,Villa Cabrera,60000,1,29,32,2995,2 recibos de sueldo,2068.97,643,34360,Sí,938,IPC cada 4 meses
1901,Departamento,Centro,189504,3,87,12,8590,2 recibos + garantía propietaria,2178.21,736,108523,Sí,3473,IPC cada 4 meses
1902,PH,Nueva Córdoba,267590,2,58,19,0,1 recibo + garantía propietaria,4613.62,693,166844,Sí,5047,ICL cada 6 meses
1903,Departamento,Villa Belgrano,262128,4,136,28,15704,1 recibo de sueldo,1927.41,701,163439,No,4090,ICL cada 3 meses
1904,Departamento,Nueva Córdoba,468943,3,99,9,24574,1 recibo + garantía propietaria,4736.8,771,292390,Sí,11362,ICL cada 6 meses
1905,Casa,Villa Belgrano,208980,3,104,20,0,1 recibo + garantía propietaria,2009.42,627,130300,Sí,3736,ICL cada 4 meses
1906,Casa,General Paz,385399,3,93,9,0,2 recibos + garantía propietaria,4144.08,796,240299,Sí,8794,ICL cada 6 meses
1907,Casa,Pueyrredón,124200,2,60,20,0,2 recibos + garantía propietaria,2070.0,641,71125,No,2444,IPC cada 6 meses
1908,Departamento,Barrio Jardín,226512,2,64,5,11983,1 recibo de sueldo,3539.25,739,129716,No,4415,IPC cada 3 meses
1909,Departamento,Barrio Jardín,199459,2,71,42,10557,2 recibos de sueldo,2809.28,600,114224,No,4683,IPC cada 6 meses
1910,Departamento,Cerro de las Rosas,542076,4,118,1,31259,1 recibo + garantía propietaria,4593.86,709,337989,Sí,9944,ICL cada 3 meses
1911,PH,Urca,377905,3,104,14,0,2 recibos + garantía propietaria,3633.7,765,235627,Sí,5823,ICL cada 3 meses
1912,Departamento,Observatorio,140118,2,64,7,6119,1 recibo de sueldo,2189.34,541,87364,Sí,2826,ICL cada 4 meses
1913,Departamento,Pueyrredón,211848,4,96,18,8724,2 recibos de sueldo,2206.75,744,121319,Sí,3682,IPC cada 4 meses
1914,PH,Barrio Jardín,128140,1,39,12,0,2 recibos de sueldo,3285.64,667,73381,Sí,2364,IPC cada 3 meses
1915,PH,Alta Córdoba,176256,3,77,8,0,2 recibos de sueldo,2289.04,853,100936,Sí,3276,IPC cada 6 meses
1916,PH,Villa Belgrano,216504,3,99,6,0,2 recibos de sueldo,2186.91,623,123985,No,5174,IPC cada 3 meses
1917,PH,Observatorio,218736,3,99,4,0,2 recibos de sueldo,2209.45,679,125263,Sí,5181,IPC cada 4 meses
1918,PH,Centro,244818,4,123,26,0,2 recibos + garantía propietaria,1990.39,634,140200,No,5959,IPC cada 4 meses
1919,Departamento,Cofico,416812,4,125,5,19896,1 recibo + garantía propietaria,3334.5,716,238695,No,8652,IPC cada 3 meses
1920,Casa,Cofico,295974,3,101,26,0,1 recibo + garantía propietaria,2930.44,431,184542,No,6198,ICL cada 3 meses
1921,Casa,Villa El Libertador,119969,2,55,14,0,2 recibos de sueldo,2181.25,508,68702,No,2389,IPC cada 4 meses
1922,Departamento,Nueva Córdoba,635685,4,128,1,32609,2 recibos + garantía propietaria,4966.29,716,396355,Sí,14205,ICL cada 6 meses
1923,Departamento,San Vicente,224028,3,102,4,10241,1 recibo de sueldo,2196.35,652,128294,No,5427,IPC cada 6 meses
1924,PH,Barrio Jardín,135470,1,48,33,0,1 recibo de sueldo,2822.29,449,77579,No,2067,IPC cada 3 meses
1925,Departamento,Villa Cabrera,170352,3,79,18,9162,2 recibos + garantía propietaria,2156.35,586,97555,Sí,3021,IPC cada 4 meses
1926,PH,Nueva Córdoba,313051,2,64,4,0,3 recibos de sueldo,4891.42,610,195190,No,4857,ICL cada 3 meses
1927,Departamento,Centro,60000,1,20,23,2488,1 recibo de sueldo,3000.0,601,34360,No,1104,IPC cada 3 meses
1928,Departamento,Alta Córdoba,220590,4,110,29,12312,2 recibos + garantía propietaria,2005.36,743,137539,Sí,5180,ICL cada 3 meses
1929,Departamento,San Vicente,204561,3,94,9,11120,2 recibos + garantía propietaria,2176.18,775,117146,No,4056,IPC cada 6 meses
1930,Departamento,Nueva Córdoba,282955,2,61,16,12528,2 recibos + garantía propietaria,4638.61,426,176425,No,6764,ICL cada 4 meses
1931,Departamento,Centro,217728,3,101,8,10008,1 recibo de sueldo,2155.72,638,124686,Sí,5139,IPC cada 3 meses
1932,Departamento,Centro,267894,4,117,2,15039,2 recibos de sueldo,2289.69,661,153414,Sí,4398,IPC cada 6 meses
1933,Departamento,Centro,63504,1,29,11,3522,2 recibos de sueldo,2189.79,501,39595,No,1133,ICL cada 3 meses
1934,Departamento,Centro,184275,3,92,25,10370,3 recibos de sueldo,2002.99,775,114897,Sí,3788,ICL cada 3 meses
1935,Departamento,Villa El Libertador,242913,4,111,13,11282,2 recibos + garantía propietaria,2188.41,687,151458,Sí,4533,ICL cada 3 meses
1936,Departamento,Villa Cabrera,118503,2,53,11,7038,2 recibos + garantía propietaria,2235.91,735,67863,No,2511,IPC cada 3 meses
1937,Casa,Urca,377055,3,101,10,0,2 recibos + garantía propietaria,3733.22,605,215928,Sí,7906,IPC cada 6 meses
1938,Departamento,Villa Cabrera,60000,1,25,13,3258,1 recibo de sueldo,2400.0,572,37410,No,919,ICL cada 3 meses
1939,Departamento,Alberdi,219456,3,102,8,9064,1 recibo + garantía propietaria,2151.53,593,136832,Sí,4165,ICL cada 3 meses
1940,Departamento,Nueva Córdoba,571018,4,126,19,28296,2 recibos + garantía propietaria,4531.89,638,356034,Sí,11129,ICL cada 4 meses
1941,Departamento,Nueva Córdoba,242979,2,45,1,12948,2 recibos de sueldo,5399.53,607,139146,Sí,5807,IPC cada 6 meses
1942,Departamento,Barrio Jardín,392160,4,125,28,17009,1 recibo de sueldo,3137.28,740,244515,Sí,8672,ICL cada 6 meses
1943,Departamento,Villa Cabrera,279300,4,125,4,16209,1 recibo + garantía propietaria,2234.4,900,159946,Sí,4839,IPC cada 6 meses
1944,PH,Villa El Libertador,131406,2,64,19,0,1 recibo de sueldo,2053.22,708,81932,No,2740,ICL cada 4 meses
1945,PH,Villa Cabrera,191862,3,89,13,0,2 recibos + garantía propietaria,2155.75,455,119627,Sí,3676,ICL cada 3 meses
1946,Casa,Alberdi,60000,1,21,26,0,1 recibo de sueldo,2857.14,665,34360,No,1440,IPC cada 4 meses
1947,Departamento,Alta Córdoba,255987,4,133,29,14100,2 recibos de sueldo,1924.71,531,159610,No,3931,ICL cada 6 meses
1948,Departamento,Cerro de las Rosas,400140,3,89,5,16657,2 recibos + garantía propietaria,4495.96,609,249490,No,9990,ICL cada 3 meses
1949,Departamento,Barrio Jardín,273225,3,81,21,15919,2 recibos + garantía propietaria,3373.15,646,156467,Sí,4466,IPC cada 4 meses
1950,Casa,Cofico,315900,3,95,5,0,1 recibo + garantía propietaria,3325.26,624,196966,No,6732,ICL cada 6 meses
1951,PH,Nueva Córdoba,421264,3,83,3,0,1 recibo + garantía propietaria,5075.47,546,262661,No,7570,ICL cada 3 meses
1952,Departamento,General Paz,402300,4,111,37,19345,2 recibos + garantía propietaria,3624.32,702,230385,Sí,8082,IPC cada 6 meses
1953,Departamento,Centro,195804,3,86,4,9604,2 recibos + garantía propietaria,2276.79,450,122085,Sí,3532,ICL cada 6 meses
1954,Departamento,Villa Belgrano,255498,4,113,6,14221,3 recibos de sueldo,2261.04,688,146316,No,4946,IPC cada 6 meses
1955,Casa,Pueyrredón,187938,3,81,3,0,1 recibo + garantía propietaria,2320.22,559,107626,Sí,3254,IPC cada 4 meses
1956,Casa,Yofre,142494,2,68,13,0,3 recibos de sueldo,2095.5,677,81602,No,2255,IPC cada 3 meses
1957,Departamento,San Vicente,224844,4,119,36,11889,3 recibos de sueldo,1889.45,515,128761,Sí,4773,IPC cada 3 meses
1958,PH,Cofico,333504,3,103,7,0,2 recibos + garantía propietaria,3237.9,673,207942,Sí,7923,ICL cada 3 meses
1959,Departamento,San Vicente,175536,3,81,16,8557,1 recibo + garantía propietaria,2167.11,787,109448,Sí,3618,ICL cada 4 meses
1960,PH,Villa Cabrera,297108,5,133,11,0,2 recibos + garantía propietaria,2233.89,590,185249,Sí,5837,ICL cada 3 meses
1961,PH,Cerro de las Rosas,135228,1,31,9,0,1 recibo de sueldo,4362.19,588,77441,No,2065,IPC cada 4 meses
1962,Casa,Cofico,331047,3,109,17,0,3 recibos de sueldo,3037.13,693,189580,Sí,6593,IPC cada 4 meses
1963,Departamento,Observatorio,135240,2,65,16,6111,2 recibos de sueldo,2080.62,671,77447,No,3024,IPC cada 6 meses
1964,Departamento,Cofico,377055,3,122,10,18980,3 recibos de sueldo,3090.61,511,235097,Sí,6252,ICL cada 3 meses
1965,Departamento,Centro,239190,4,123,30,12338,3 recibos de sueldo,1944.63,760,149137,No,5416,ICL cada 4 meses
1966,Departamento,Centro,346857,5,152,1,18251,1 recibo + garantía propietaria,2281.95,730,216268,Sí,6881,ICL cada 3 meses
1967,PH,General Paz,314879,3,68,2,0,1 recibo de sueldo,4630.57,778,196329,Sí,7125,ICL cada 3 meses
1968,Departamento,Barrio Jardín,351168,4,124,45,18296,1 recibo de sueldo,2832.0,704,218956,Sí,5790,ICL cada 3 meses
1969,Departamento,Barrio Jardín,391440,4,122,25,20490,2 recibos + garantía propietaria,3208.52,838,224166,Sí,6661,IPC cada 3 meses
1970,Casa,Nueva Córdoba,378021,3,86,28,0,2 recibos + garantía propietaria,4395.59,462,235699,Sí,7357,ICL cada 4 meses
1971,Departamento,Nueva Córdoba,272672,2,59,18,13501,1 recibo de sueldo,4621.56,802,170013,No,5390,ICL cada 3 meses
1972,Departamento,Villa Cabrera,192888,3,89,12,9883,2 recibos de sueldo,2167.28,611,110461,Sí,4811,IPC cada 3 meses
1973,Departamento,Urca,540692,5,148,19,24748,1 recibo de sueldo,3653.32,595,337126,Sí,13442,ICL cada 3 meses
1974,Departamento,Alberdi,378972,5,171,2,16359,1 recibo + garantía propietaria,2216.21,578,236292,No,7416,ICL cada 4 meses
1975,Departamento,Urca,305943,3,86,25,15951,3 recibos de sueldo,3557.48,700,175204,No,5323,IPC cada 6 meses
1976,PH,Yofre,257232,4,122,16,0,3 recibos de sueldo,2108.46,730,147309,Sí,5640,IPC cada 3 meses
1977,Departamento,Urca,184264,2,56,39,7543,3 recibos de sueldo,3290.43,603,105522,No,3121,IPC cada 4 meses
1978,PH,Cofico,205740,2,68,20,0,3 recibos de sueldo,3025.59,677,117821,No,3655,IPC cada 4 meses
1979,Departamento,Observatorio,343371,5,152,3,14182,1 recibo de sueldo,2259.02,900,196638,Sí,7001,IPC cada 3 meses
1980,Departamento,Observatorio,123981,2,57,13,5572,1 recibo + garantía propietaria,2175.11,583,71000,Sí,3032,IPC cada 4 meses
1981,Departamento,General Paz,196233,2,41,1,8611,1 recibo + garantía propietaria,4786.17,610,112376,No,3000,IPC cada 4 meses
1982,Departamento,Villa Cabrera,184275,3,92,25,8749,2 recibos + garantía propietaria,2002.99,791,105528,No,4007,IPC cada 4 meses
1983,Departamento,Alta Córdoba,187488,3,87,14,8891,2 recibos + garantía propietaria,2155.03,492,116900,Sí,4434,ICL cada 4 meses
1984,Departamento,Alta Córdoba,194940,3,89,10,8253,1 recibo + garantía propietaria,2190.34,674,121546,No,4354,ICL cada 6 meses
1985,Departamento,Cerro de las Rosas,185075,2,48,41,8315,1 recibo de sueldo,3855.73,408,105986,Sí,3668,IPC cada 4 meses
1986,Departamento,Nueva Córdoba,536738,4,134,38,21518,1 recibo de sueldo,4005.51,512,307373,Sí,12653,IPC cada 6 meses
1987,Departamento,Villa Belgrano,235220,4,129,39,11059,1 recibo + garantía propietaria,1823.41,530,146661,Sí,5368,ICL cada 4 meses
1988,Departamento,Alberdi,159120,2,74,5,8899,1 recibo de sueldo,2150.27,562,91123,No,3554,IPC cada 3 meses
1989,Casa,Cofico,299376,3,101,24,0,2 recibos de sueldo,2964.12,525,186663,Sí,4808,ICL cada 3 meses
1990,PH,Villa Belgrano,176418,3,96,38,0,1 recibo de sueldo,1837.69,670,109998,No,3889,ICL cada 6 meses
1991,Departamento,Villa Belgrano,171288,3,79,17,7763,2 recibos + garantía propietaria,2168.2,789,98091,Sí,2836,IPC cada 3 meses
1992,Departamento,Cerro de las Rosas,332280,2,78,5,17566,2 recibos de sueldo,4260.0,853,207179,No,7968,ICL cada 4 meses
1993,PH,San Vicente,164088,3,81,28,0,1 recibo de sueldo,2025.78,547,93968,No,3525,IPC cada 4 meses
1994,Departamento,Cerro de las Rosas,222768,2,57,32,9348,2 recibos + garantía propietaria,3908.21,722,138897,No,5297,ICL cada 3 meses
1995,PH,Villa Belgrano,134034,2,67,22,0,3 recibos de sueldo,2000.51,770,83571,No,2240,ICL cada 3 meses
1996,Departamento,San Vicente,212544,3,98,8,8553,1 recibo de sueldo,2168.82,662,132523,Sí,4418,ICL cada 6 meses
1997,PH,Pueyrredón,212355,3,96,5,0,1 recibo + garantía propietaria,2212.03,720,132405,Sí,3215,ICL cada 3 meses
1998,Departamento,Nueva Córdoba,397801,3,86,19,19877,1 recibo de sueldo,4625.59,696,248032,Sí,6336,ICL cada 6 meses
1999,PH,Nueva Córdoba,542599,4,114,14,0,1 recibo + garantía propietaria,4759.64,695,338315,Sí,10024,ICL cada 6 meses
2000,Departamento,Urca,286623,2,85,21,14110,3 recibos de sueldo,3372.04,576,178712,No,5110,ICL cada 4 meses
2001,Departamento,Urca,478170,4,120,2,20958,1 recibo de sueldo,3984.75,450,273833,Sí,11001,IPC cada 3 meses
2002,Departamento,General Paz,122396,1,28,3,5597,1 recibo + garantía propietaria,4371.29,615,70092,Sí,2501,IPC cada 6 meses
2003,Departamento,Yofre,184680,3,83,10,7500,2 recibos de sueldo,2225.06,573,115149,Sí,4441,ICL cada 3 meses
2004,Casa,General Paz,512646,4,122,7,0,3 recibos de sueldo,4202.02,622,293577,Sí,12572,IPC cada 3 meses
2005,Departamento,Urca,333537,3,92,19,18663,2 recibos + garantía propietaria,3625.4,746,191006,No,7908,IPC cada 3 meses
2006,PH,Villa Belgrano,196650,3,90,10,0,2 recibos de sueldo,2185.0,793,112615,Sí,3509,IPC cada 6 meses
2007,Departamento,Alta Córdoba,190638,3,94,22,8774,2 recibos de sueldo,2028.06,665,109172,No,4025,IPC cada 6 meses
2008,PH,Villa Cabrera,268308,4,138,26,0,2 recibos + garantía propietaria,1944.26,531,167292,Sí,6069,ICL cada 4 meses
2009,Departamento,Nueva Córdoba,423007,3,84,4,18776,3 recibos de sueldo,5035.8,611,242243,No,8592,IPC cada 6 meses
2010,PH,Alta Córdoba,226320,4,120,36,0,3 recibos de sueldo,1886.0,572,129606,Sí,4150,IPC cada 6 meses
2011,PH,Nueva Córdoba,635982,5,144,27,0,2 recibos de sueldo,4416.54,662,396540,Sí,10700,ICL cada 3 meses
2012,Departamento,Nueva Córdoba,422888,3,93,19,23721,2 recibos de sueldo,4547.18,603,242175,No,10418,IPC cada 3 meses
2013,PH,Yofre,161865,3,84,35,0,3 recibos de sueldo,1926.96,740,92695,Sí,2762,IPC cada 6 meses
2014,Casa,Cerro de las Rosas,115800,1,25,7,0,2 recibos de sueldo,4632.0,565,66315,Sí,2677,IPC cada 4 meses
2015,Departamento,Alberdi,104340,2,45,12,4255,1 recibo de sueldo,2318.67,868,65056,No,1704,ICL cada 4 meses
2016,Departamento,Cofico,310068,3,91,2,14167,3 recibos de sueldo,3407.34,502,177566,Sí,7715,IPC cada 6 meses
